,1,2,3,4,5
d_mean,63.70648999999999,64.47851999999997,63.60776999999999,64.42093,62.93678999999998
d_high,74.0299,75.29390000000001,74.2598,76.72600000000001,72.57600000000001
d_low,53.8404,53.7888,54.0497,54.347300000000004,54.823100000000004
s_mean,51.08599999999999,51.005629999999954,51.15013,50.75191000000001,50.27541000000001
s_high,62.057500000000005,59.430200000000006,60.518,60.283100000000005,59.162700000000015
s_low,41.3077,42.193999999999996,42.2286,41.724,41.897600000000004
