,1,2,3,4,5,6,7,8,9,10
d_mean,56.4216,61.81260000000001,62.13880000000004,62.969199999999994,62.491499999999995,64.03640000000001,63.40090000000001,62.63650000000003,64.05270000000003,63.82730000000001
d_high,64.28,70.00999999999999,71.109,72.554,69.781,73.74,73.38199999999999,70.554,73.092,72.288
d_low,48.501,53.528,53.469,52.858000000000004,53.624,54.695,53.372,54.652,55.789,53.838
s_mean,44.59669999999997,50.64339999999999,50.36120000000001,49.86940000000002,50.73260000000001,51.066799999999986,49.001200000000026,50.10990000000001,50.517700000000005,50.2211
s_high,52.24600000000001,59.991,58.537,56.772000000000006,58.72,59.397000000000006,56.461,58.298,59.612,58.226000000000006
s_low,36.055,42.591,43.355,41.64,41.056000000000004,43.106,41.137,41.46,43.57,41.46
