,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
mean,1.0,3.0444000000000004,4.0106,4.4489,4.835499999999999,4.897900000000001,4.8992,4.998100000000002,4.956499999999999,5.064299999999999,4.9921999999999995,5.035900000000001,5.032400000000001,5.0196000000000005,4.923399999999999,5.0034,5.0815,5.0345,4.9925999999999995,4.9944,5.048500000000001,4.983,4.9787,4.9651000000000005,4.9451,5.0221,5.029399999999999,4.913,5.047999999999999,4.936
high,1.0,3.35,4.572,4.923000000000001,5.418000000000001,5.532,5.573,5.571000000000001,5.732,5.69,5.572,5.7010000000000005,5.680999999999999,5.7,5.504000000000001,5.610000000000001,5.710000000000001,5.620000000000002,5.5,5.6,5.710000000000001,5.610000000000001,5.5,5.5,5.6,5.710000000000001,5.610000000000001,5.6,5.610000000000001,5.6
low,1.0,2.7089999999999996,3.599,3.9960000000000004,4.259,4.319,4.274,4.428,4.284,4.5,4.386,4.39,4.399,4.399,4.2780000000000005,4.39,4.6,4.4,4.49,4.4,4.39,4.39,4.4,4.4,4.3,4.4,4.39,4.2,4.5,4.29
