,1,2,3,4,5,6,7,8,9,10
d_mean,57.225648,62.585390000000004,62.11589800000002,63.478717,60.64790199999999,62.77376999999999,62.745450999999974,62.085193999999994,62.89361100000001,62.663232999999984
d_high,64.99428,72.0692,73.13778,75.36760000000001,72.59868,73.55653000000001,73.90344,74.7196,72.31738,73.54984
d_low,48.52483,52.14659,50.96767,53.69094,48.408069999999995,51.8357,52.34679,50.38933,50.898920000000004,52.522690000000004
s_mean,45.94346600000001,49.22430200000001,50.73993599999998,50.00478699999999,51.352959999999975,50.245760999999995,50.368452000000005,50.84883299999999,50.45389599999999,50.071012999999994
s_high,54.06492,59.19563000000001,61.86988000000001,59.12827,62.18807,59.715630000000004,60.02554,62.100300000000004,59.95938,59.7951
s_low,38.12835,38.073209999999996,41.34216,40.838240000000006,41.65471,41.61628,40.01929,39.95702,38.63594,40.947540000000004
