,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
d_mean,1.0,2.576100000000001,3.403099999999999,3.9697000000000005,4.404200000000001,4.676199999999998,4.943200000000001,5.089800000000002,5.3721000000000005,5.454599999999999,5.481799999999999,5.574400000000001,5.5905,5.634500000000003,5.646300000000002,5.8928999999999965,5.8115000000000006,5.733000000000001,5.709299999999998,5.7798,5.9844,5.817700000000001,5.785400000000001,5.7201,5.868200000000002,5.862299999999998,5.899000000000003,6.038899999999998,6.017900000000001,5.843900000000001,5.950600000000001,5.986699999999999,5.898099999999999,5.9218,5.971,5.895199999999998,5.9709,5.904899999999998,5.9125000000000005,5.896599999999999,5.971500000000001,5.939199999999999,5.9893,5.867699999999997,5.920999999999999,5.910199999999999,5.847200000000001,5.980399999999998,5.839999999999997,5.9887000000000015
d_high,1.0,3.0150000000000006,3.91,4.653,5.322,5.471,5.782000000000002,5.862,6.37,6.373000000000001,6.481999999999999,6.4719999999999995,6.508000000000002,6.621000000000001,6.668000000000001,7.121,6.867,6.912999999999999,6.503,6.626000000000001,6.849,6.761999999999999,6.633,6.649000000000001,6.9940000000000015,6.861000000000001,6.915,7.093,7.061,6.629999999999999,7.074000000000002,7.155000000000001,6.762999999999999,7.2540000000000004,6.970000000000001,6.8389999999999995,6.981000000000001,6.9910000000000005,6.838000000000001,6.890000000000001,7.157000000000001,6.934,7.1530000000000005,6.737000000000001,7.191000000000001,6.972,6.766,7.104,6.5440000000000005,6.926000000000001
d_low,1.0,2.1470000000000002,2.8699999999999997,3.3299999999999996,3.729,3.8979999999999997,4.194,4.43,4.599,4.6259999999999994,4.612,4.872,4.746,4.819000000000001,4.789,4.9239999999999995,5.074999999999999,4.829,4.964,4.99,5.13,4.868,5.102,4.872999999999999,5.006,4.9510000000000005,5.1080000000000005,5.13,5.087,5.12,5.1290000000000004,5.036999999999999,5.067,5.026999999999999,5.087,5.02,5.177,5.045000000000001,5.135999999999999,5.059,5.149,5.078,5.063,5.058,5.179,5.039,5.126999999999999,5.144,5.139,5.157
s_mean,1.0,1.9405999999999994,2.6122,3.0822999999999996,3.427,3.7502999999999993,3.925300000000002,4.215299999999999,4.225200000000001,4.4233,4.4897,4.5886000000000005,4.7163,4.751499999999998,4.699400000000001,4.6566,4.8101,4.8369,4.7713,4.786400000000001,4.845700000000001,4.8706000000000005,4.960900000000001,4.965500000000001,4.9083000000000006,4.8322,4.9130999999999965,4.8725000000000005,4.896199999999999,4.9386,4.9651999999999985,4.9477,4.9649000000000045,4.8514,5.082500000000001,4.955499999999998,4.9655,4.850999999999999,4.8588999999999976,4.931100000000001,4.816100000000002,4.916400000000002,4.897900000000001,4.939599999999998,4.863899999999999,4.924599999999999,4.853699999999999,4.961100000000001,5.045200000000001,4.949200000000002
s_high,1.0,2.4330000000000003,3.14,3.7030000000000003,3.9610000000000003,4.2909999999999995,4.537000000000001,4.881,5.01,5.102,5.23,5.021,5.452,5.332,5.3420000000000005,5.417000000000001,5.6930000000000005,5.713,5.579999999999999,5.482,5.586,5.4940000000000015,5.7490000000000006,5.643000000000001,5.532,5.471,5.580000000000002,5.651,5.692,5.7509999999999994,5.741,5.6000000000000005,5.6640000000000015,5.772,5.876,5.5809999999999995,5.739999999999999,5.492,5.743,5.550000000000001,5.564000000000001,5.690999999999999,5.550000000000001,5.702000000000002,5.574000000000002,5.579999999999999,5.611000000000001,5.699999999999999,5.671,5.771000000000001
s_low,1.0,1.5990000000000002,2.157,2.45,2.8489999999999998,3.2160000000000006,3.246,3.5359999999999996,3.5090000000000003,3.7200000000000006,3.9030000000000005,4.045,4.095000000000001,4.229,4.046,3.853,3.9090000000000003,4.04,4.144,4.099,4.135999999999999,4.236,4.205,4.389,4.17,4.11,4.297,4.208,4.107,4.194,4.25,4.307,4.1899999999999995,4.016,4.308,4.41,3.935,4.0889999999999995,4.128,4.237,4.095000000000001,4.247999999999999,4.146,4.199,4.008,4.177,3.9450000000000003,4.097,4.372999999999999,4.226999999999999
l_mean,1.0,1.6055999999999993,2.1585999999999994,2.700399999999999,3.2014000000000005,3.5499,3.8045,4.207799999999999,4.222600000000001,4.449500000000001,4.411099999999999,4.949100000000001,4.7932,4.937200000000001,4.665,4.8553999999999995,4.8526000000000025,4.7203,4.829000000000002,4.888199999999999,4.788099999999998,5.013599999999999,4.947599999999999,5.064400000000003,5.139300000000001,5.071299999999999,5.129699999999998,4.968800000000001,4.8008,4.717800000000002,4.9620000000000015,4.838999999999998,4.9054,4.916000000000002,4.7874,4.907000000000001,5.058500000000002,5.0456,4.953999999999999,4.8185,5.0657,4.897000000000002,5.0131,4.854399999999997,5.091599999999998,4.972500000000001,5.2810999999999995,4.812900000000001,5.0813,5.188699999999998
l_high,1.0,1.8510000000000002,2.591,3.2210000000000005,4.0009999999999994,4.4670000000000005,4.759000000000001,5.232,5.197000000000001,5.621,5.783,6.061,6.064,6.311,6.159000000000001,6.411999999999999,6.174,6.211,6.344000000000001,6.2829999999999995,6.173000000000001,6.254000000000001,6.3340000000000005,6.475,6.48,6.6240000000000006,6.505000000000001,6.475,6.252,6.193,6.500000000000002,6.094,6.296,6.227000000000001,6.123000000000001,6.281,6.731,6.741000000000001,6.475,6.49,6.614,6.418,6.376,6.211,6.405000000000001,6.401,6.543000000000001,6.404000000000001,6.633,6.791000000000001
l_low,1.0,1.2890000000000001,1.6169999999999998,1.9769999999999999,2.2580000000000005,2.564,2.641,3.109,3.025,3.124,3.154,3.9769999999999994,3.322,3.59,3.4490000000000003,3.617,3.5060000000000002,3.366,3.4690000000000003,3.468,3.27,3.4939999999999998,3.4600000000000004,3.635,3.8160000000000007,3.6759999999999997,3.8329999999999997,3.5789999999999997,3.366,3.3789999999999996,3.3020000000000005,3.34,3.4399999999999995,3.4690000000000003,3.269,3.2160000000000006,3.5789999999999997,3.455,3.513,3.306,3.5840000000000005,3.5470000000000006,3.5660000000000003,3.396,3.5719999999999996,3.678,4.09,3.3630000000000004,3.638,3.5810000000000004
