,1,2,3,4,5,6,7,8,9,10
d_mean,55.958999999999996,57.208999999999996,58.18399999999997,58.67,59.22200000000004,60.60799999999999,58.74399999999998,58.729,59.815,60.900999999999975
d_high,64.03,67.45000000000002,69.44000000000001,68.26,70.51,72.43,67.2,69.61,72.91000000000001,70.99000000000001
d_low,47.79,50.7,49.37,49.25,49.87,53.0,51.0,49.0,53.0,53.0
s_mean,43.675,49.398,49.07600000000003,49.321999999999996,48.84300000000001,48.839,49.710000000000015,49.757000000000005,49.20799999999999,48.61900000000001
s_high,50.480000000000004,57.06,56.64000000000001,56.13,56.34,56.040000000000006,57.0,58.0,58.0,57.0
s_low,36.57,41.89,41.08,43.03,39.39,41.9,42.0,42.0,41.269999999999996,40.0
