,1,2,3,4,5,6,7,8,9,10
d_mean,57.307620000000014,63.24766000000003,62.42020999999999,62.13588,63.53025,62.99665000000001,63.62147000000002,62.11205999999999,62.378760000000014,63.91771
d_high,66.6374,74.01360000000001,71.88860000000001,73.6054,74.1341,73.4691,71.8728,73.84630000000001,73.3713,78.68930000000002
d_low,48.217000000000006,53.495400000000004,50.875,51.8048,50.5574,52.4591,53.7674,50.635799999999996,52.743900000000004,51.535700000000006
s_mean,45.74613,48.11984,48.45595000000002,49.96044,51.29067999999998,49.99710999999999,51.76960000000001,50.44007,48.87045000000001,49.68774999999998
s_high,53.8171,57.9716,56.39730000000001,59.162600000000005,61.1141,60.3479,59.71,61.0727,59.406200000000005,58.55910000000001
s_low,37.695299999999996,38.125,39.2576,39.9453,43.240300000000005,40.915499999999994,44.4735,41.2748,39.3023,41.1296
